GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-skeleton,com.nnk.springboot.controllers,LoginController,41,3,0,0,12,1,3,1,3,1
spring-boot-skeleton,com.nnk.springboot.controllers,HomeController,4,3,0,0,2,1,2,1,2,1
spring-boot-skeleton,com.nnk.springboot.controllers,CurveController,6,75,0,0,0,21,1,8,1,8
spring-boot-skeleton,com.nnk.springboot.controllers,UserController,18,119,2,2,3,26,5,7,3,7
spring-boot-skeleton,com.nnk.springboot.controllers,TradeController,6,66,0,0,0,18,1,8,1,8
spring-boot-skeleton,com.nnk.springboot.controllers,RuleNameController,6,69,0,0,0,19,1,8,1,8
spring-boot-skeleton,com.nnk.springboot.controllers,BidListController,6,66,0,0,0,18,1,8,1,8
spring-boot-skeleton,com.nnk.springboot.controllers,RatingController,6,66,0,0,0,18,1,8,1,8
spring-boot-skeleton,com.nnk.springboot.service,UserService,39,6,0,0,6,3,2,1,2,1
spring-boot-skeleton,com.nnk.springboot.config,SecurityConfig,0,65,0,0,0,16,0,5,0,5
spring-boot-skeleton,com.nnk.springboot.domain,BidList,0,3,0,0,0,2,0,1,0,1
spring-boot-skeleton,com.nnk.springboot.domain,Trade,0,3,0,0,0,2,0,1,0,1
spring-boot-skeleton,com.nnk.springboot.domain,Rating,16,3,0,0,6,2,1,1,1,1
spring-boot-skeleton,com.nnk.springboot.domain,CurvePoint,0,3,0,0,0,2,0,1,0,1
spring-boot-skeleton,com.nnk.springboot.domain,RuleName,0,3,0,0,0,2,0,1,0,1
spring-boot-skeleton,com.nnk.springboot,Application,5,3,0,0,2,1,1,1,1,1
